,category,description,link,id,updated_at,price,type,name,created_at
926,Home & Office/Home & Kitchen/Lighting & Ceiling Fans/Lamps & Lighting/Table Lamps,"Generic Rose Diamond Table Lamp 16 ColersKSh 1,550KSh 1,85016%4.6 out of 5(10)",https://www.jumia.co.ke/generic-rose-diamond-table-lamp-16-colers-115568901.html,eb87347c-1c7e-4ee7-b69e-ad0e89f9782f,2023-10-22T13:54:06,"KSh 1,550",lamps,Generic Rose Diamond Table Lamp 16 Colers,2023-10-22T13:54:06
927,Electronics/Television & Video/Televisions/Smart TVs,"LG 43'' 4K UHD UQ8000 Series, 4K Active HDR WebOS Smart ThinQ AIKSh 59,000KSh 76,00022%",https://www.jumia.co.ke/lg-43-4k-uhd-uq8000-series-4k-active-hdr-webos-smart-thinq-ai-150776581.html,ebb26783-4710-4339-9399-60cbf4eeb5bb,2023-10-24T17:41:33,"KSh 59,000",lg+tv+43,LG 43'' 4K UHD UQ8000 Series,2023-10-24T17:41:33
928,Electronics/Television & Video/Televisions/Smart TVs,"LG 43UP7750 - 43"" 4K UHD Smart Frameless LED TV - Black 2022KSh 58,499KSh 97,00040%offers from",https://www.jumia.co.ke/43up7750-43-4k-uhd-smart-frameless-led-tv-black-2022-lg-mpg603453.html,ebdc46b5-aa7c-448d-8841-fbed51bef80b,2023-10-24T14:50:04,"KSh 58,499",lg+tv+43,"LG 43UP7750 - 43"" 4K UHD Smart Frameless LED TV - Black 2022",2023-10-24T14:50:04
929,Electronics/Television & Video/Televisions/Smart TVs,"LG 43” 4K ULTRA HD SMART TV, MAGIC REMOTE, NETFLIX 43UN73KSh 49,500KSh 60,00018%offers from",https://www.jumia.co.ke/43-4k-ultra-hd-smart-tv-magic-remote-netflix-43un73-lg-mpg1290970.html,ecef6dc0-72ee-4a78-b090-c581911cc872,2023-10-24T14:50:04,"KSh 49,500",lg+tv+43,LG 43” 4K ULTRA HD SMART TV,2023-10-24T14:50:04
930,Electronics/Television & Video/Televisions/Smart TVs,"LG 43"" 4K UHD SMART TV,MAGIC REMOTE,ALEXA VOICE CONTROL,GOOGLE ASSISTANT-43UP75KSh 55,000KSh 68,00019%",https://www.jumia.co.ke/43-4k-uhd-latest-smart-tvmagic-remotevoice-controlwi-fi4k-hdr-43up7550-lg-mpg1290969.html,ed10b678-28e2-4b86-a01e-3187b5b30310,2023-10-23T20:51:33,"KSh 55,000",lg+tv+43,"LG 43"" 4K UHD SMART TV",2023-10-23T20:51:33
931,Home & Office/Home & Kitchen/Kitchen & Dining/Cutlery & Knife Accessories/Knife Sets/Knife Block Sets,"Rashnick Rashnik 7pcs Knife SetKSh 295,999KSh 296,0001%",https://www.jumia.co.ke/rashnick-rashnik-7pcs-knife-set-157527450.html,eda3afb6-e8c8-4a34-b21a-f9d234057a2a,2023-10-22T13:56:42,"KSh 295,999",knives,Rashnick Rashnik 7pcs Knife Set,2023-10-22T13:56:42
932,Home & Office/Home & Kitchen/Kitchen & Dining/Cutlery & Knife Accessories/Knife Sets/Knife Block Sets,"Generic 7 Pc Knife Set With Cutting/Chopping Board/HolderKSh 1,950KSh 3,40043%3.7 out of 5(3)",https://www.jumia.co.ke/generic-7-pc-knife-set-with-cuttingchopping-boardholder-84174784.html,eda8c1ff-ee34-4cf5-a258-6adf6768698c,2023-10-22T13:56:42,"KSh 1,950",knives,Generic 7 Pc Knife Set With Cutting/Chopping Board/Holder,2023-10-22T13:56:42
933,"Grocery/Food Cupboard/Margarine, Jams, Honey & Spreads/Honey",Agrisafe Honey HoneyKSh 450KSh 60025%,https://www.jumia.co.ke/agrisafe-honey-honey-156532353.html,ee0e814e-045e-479d-bfa7-034a8af54260,2023-10-24T21:39:43,KSh 450,honey,Agrisafe Honey Honey,2023-10-24T21:39:43
934,Electronics/Television & Video/Televisions/Smart TVs,"LG 43LM6370PVA, 43'' SMART WEBOs FULL-HD LED TV, NETFLIX, YOUTUBE, BLUETOOTHKSh 51,599offers from",https://www.jumia.co.ke/43lm6370pva-43-smart-webos-full-hd-led-tv-netflix-youtube-bluetooth-lg-mpg405217.html,ee2473a6-0c85-4687-96d4-e712f471c712,2023-10-24T15:30:00,"KSh 51,599",lg+tv+43,LG 43LM6370PVA,2023-10-24T15:30:00
935,Electronics/Television & Video/Televisions/Smart TVs,"LG 43” FULL HD SMART TV, NETFLIX, YOUTUBE 43LM6370PVAKSh 44,899KSh 57,00021%",https://www.jumia.co.ke/43-full-hd-smart-tv-netflix-youtube-43lm6370pva-lg-mpg957438.html,ee896fdf-b427-4b45-b7de-eeae056aefa1,2023-10-24T14:54:34,"KSh 44,899",lg+tv+43,LG 43” FULL HD SMART TV,2023-10-24T14:54:34
936,Home & Office/Home & Furniture/Lighting/Lighting Bulbs & Component/Lighting Bulb/Specialty Bulb,Neelux Powerful Mosquito Killer LED BulbKSh 498KSh 80038%offers from3.5 out of 5(8),https://www.jumia.co.ke/rechargeable-mosquito-killer-led-bulb-neelux-mpg601634.html,ee8c13b3-47b4-4cbe-9373-eba358071a15,2023-10-24T21:38:19,KSh 498,bulbs,Neelux Powerful Mosquito Killer LED Bulb,2023-10-24T21:38:19
937,Electronics/Television & Video/Televisions/Smart TVs,"LG 43” FULL HD SMART TV, NETFLIX, YOUTUBE 43LM6370PVAKSh 42,800KSh 52,99519%5 out of 5(1)",https://www.jumia.co.ke/lg-43-full-hd-smart-tv-netflix-youtube-43lm6370pva-55568784.html,eed5afc7-8795-4af7-b2e2-07fde766020f,2023-10-24T14:50:04,"KSh 42,800",lg+tv+43,LG 43” FULL HD SMART TV,2023-10-24T14:50:04
938,Home & Office/Home & Kitchen/Kitchen & Dining/Cutlery & Knife Accessories/Knife Sets/Knife Block Sets,"Generic Classic Kitchenware Cookstyle Nonstick Elegant 6 Piece Knife SetKSh 1,900KSh 2,50024%",https://www.jumia.co.ke/generic-classic-kitchenware-cookstyle-nonstick-elegant-6-piece-knife-set-143195118.html,ef89cacc-645d-4797-8f15-28ce6feba4ec,2023-10-22T13:56:41,"KSh 1,900",knives,Generic Classic Kitchenware Cookstyle Nonstick Elegant 6 Piece Knife Set,2023-10-22T13:56:41
939,Home & Office/Home & Kitchen/Lighting & Ceiling Fans/Lamps & Lighting/Table Lamps,"Shipped from abroadGeneric 3Colors Diamond Table Lamp Crystal LED Bar Table Lamp Rechargeable Touch Sensor Dimming Bedside Lamps for Bedroom DecorKSh 1,868KSh 3,58748%",https://www.jumia.co.ke/generic-3colors-diamond-table-lamp-crystal-led-bar-table-lamp-rechargeable-touch-sensor-dimming-bedside-lamps-for-bedroom-decor-137603315.html,f01f93c0-9ac2-4082-ab2f-d270b8867e3c,2023-10-24T17:55:39,"KSh 1,868",lamps,Generic 3Colors Diamond Table Lamp Crystal LED Bar Table Lamp Rechargeable Touch Sensor Dimming Bedside Lamps for Bedroom Decor,2023-10-24T17:55:39
